 posid cellid      u      v	         x          y
     4      6     -3      7	   -68.212     -5.626
     3      7     -4      7	   -68.212      5.626
     4     16     -1      6	   -58.467    -22.504
     0     17     -2      6	   -58.467    -11.252
     0     18     -3      6	   -58.467     -0.000
     0     19     -4      6	   -58.467     11.252
     3     20     -5      6	   -58.467     22.504
     4     26      1      5	   -48.723    -39.382
     0     27      0      5	   -48.723    -28.130
     0     28     -1      5	   -48.723    -16.878
     0     29     -2      5	   -48.723     -5.626
     0     30     -3      5	   -48.723      5.626
     0     31     -4      5	   -48.723     16.878
     0     32     -5      5	   -48.723     28.130
     3     33     -6      5	   -48.723     39.382
     4     36      3      4	   -38.978    -56.260
     0     37      2      4	   -38.978    -45.008
     0     38      1      4	   -38.978    -33.756
     0     39      0      4	   -38.978    -22.504
     0     40     -1      4	   -38.978    -11.252
     0     41     -2      4	   -38.978     -0.000
     0     42     -3      4	   -38.978     11.252
     0     43     -4      4	   -38.978     22.504
     0     44     -5      4	   -38.978     33.756
     0     45     -6      4	   -38.978     45.008
     3     46     -7      4	   -38.978     56.260
     5     47      4      3	   -29.234    -61.886
     0     48      3      3	   -29.234    -50.634
     0     49      2      3	   -29.234    -39.382
     0     50      1      3	   -29.234    -28.130
     0     51      0      3	   -29.234    -16.878
     0     52     -1      3	   -29.234     -5.626
     0     53     -2      3	   -29.234      5.626
     0     54     -3      3	   -29.234     16.878
     0     55     -4      3	   -29.234     28.130
     0     56     -5      3	   -29.234     39.382
     0     57     -6      3	   -29.234     50.634
     2     58     -7      3	   -29.234     61.886
     0     59      4      2	   -19.489    -56.260
     0     60      3      2	   -19.489    -45.008
     0     61      2      2	   -19.489    -33.756
     0     62      1      2	   -19.489    -22.504
     0     63      0      2	   -19.489    -11.252
     0     64     -1      2	   -19.489     -0.000
     0     65     -2      2	   -19.489     11.252
     0     66     -3      2	   -19.489     22.504
     0     67     -4      2	   -19.489     33.756
     0     68     -5      2	   -19.489     45.008
     0     69     -6      2	   -19.489     56.260
     5     70      5      1	    -9.745    -61.886
     0     71      4      1	    -9.745    -50.634
     0     72      3      1	    -9.745    -39.382
     0     73      2      1	    -9.745    -28.130
     0     74      1      1	    -9.745    -16.878
     0     75      0      1	    -9.745     -5.626
     0     76     -1      1	    -9.745      5.626
     0     77     -2      1	    -9.745     16.878
     0     78     -3      1	    -9.745     28.130
     0     79     -4      1	    -9.745     39.382
     0     80     -5      1	    -9.745     50.634
     2     81     -6      1	    -9.745     61.886
     0     82      5      0	    -0.000    -56.260
     0     83      4      0	    -0.000    -45.008
     0     84      3      0	    -0.000    -33.756
     0     85      2      0	    -0.000    -22.504
     0     86      1      0	    -0.000    -11.252
     0     87      0      0	    -0.000     -0.000
     0     88     -1      0	     0.000     11.252
     0     89     -2      0	     0.000     22.504
     0     90     -3      0	     0.000     33.756
     0     91     -4      0	     0.000     45.008
     0     92     -5      0	     0.000     56.260
     5     93      6     -1	     9.745    -61.886
     0     94      5     -1	     9.745    -50.634
     0     95      4     -1	     9.745    -39.382
     0     96      3     -1	     9.745    -28.130
     0     97      2     -1	     9.745    -16.878
     0     98      1     -1	     9.745     -5.626
     0     99      0     -1	     9.745      5.626
     0    100     -1     -1	     9.745     16.878
     0    101     -2     -1	     9.745     28.130
     0    102     -3     -1	     9.745     39.382
     0    103     -4     -1	     9.745     50.634
     2    104     -5     -1	     9.745     61.886
     0    105      6     -2	    19.489    -56.260
     0    106      5     -2	    19.489    -45.008
     0    107      4     -2	    19.489    -33.756
     0    108      3     -2	    19.489    -22.504
     0    109      2     -2	    19.489    -11.252
     0    110      1     -2	    19.489      0.000
     0    111      0     -2	    19.489     11.252
     0    112     -1     -2	    19.489     22.504
     0    113     -2     -2	    19.489     33.756
     0    114     -3     -2	    19.489     45.008
     0    115     -4     -2	    19.489     56.260
     5    116      7     -3	    29.234    -61.886
     0    117      6     -3	    29.234    -50.634
     0    118      5     -3	    29.234    -39.382
     0    119      4     -3	    29.234    -28.130
     0    120      3     -3	    29.234    -16.878
     0    121      2     -3	    29.234     -5.626
     0    122      1     -3	    29.234      5.626
     0    123      0     -3	    29.234     16.878
     0    124     -1     -3	    29.234     28.130
     0    125     -2     -3	    29.234     39.382
     0    126     -3     -3	    29.234     50.634
     2    127     -4     -3	    29.234     61.886
     6    128      7     -4	    38.978    -56.260
     0    129      6     -4	    38.978    -45.008
     0    130      5     -4	    38.978    -33.756
     0    131      4     -4	    38.978    -22.504
     0    132      3     -4	    38.978    -11.252
     0    133      2     -4	    38.978      0.000
     0    134      1     -4	    38.978     11.252
     0    135      0     -4	    38.978     22.504
     0    136     -1     -4	    38.978     33.756
     0    137     -2     -4	    38.978     45.008
     1    138     -3     -4	    38.978     56.260
     6    141      6     -5	    48.723    -39.382
     0    142      5     -5	    48.723    -28.130
     0    143      4     -5	    48.723    -16.878
     0    144      3     -5	    48.723     -5.626
     0    145      2     -5	    48.723      5.626
     0    146      1     -5	    48.723     16.878
     0    147      0     -5	    48.723     28.130
     1    148     -1     -5	    48.723     39.382
     6    154      5     -6	    58.467    -22.504
     0    155      4     -6	    58.467    -11.252
     0    156      3     -6	    58.467      0.000
     0    157      2     -6	    58.467     11.252
     1    158      1     -6	    58.467     22.504
     6    167      4     -7	    68.212     -5.626
     1    168      3     -7	    68.212      5.626
