      	cellid	         x          y
     0	     6	   -63.000     -5.196
     1	     7	   -63.000      5.196
     2	    16	   -54.000    -20.785
     3	    17	   -54.000    -10.392
     4	    18	   -54.000      0.000
     5	    19	   -54.000     10.392
     6	    20	   -54.000     20.785
     7	    26	   -45.000    -36.373
     8	    27	   -45.000    -25.981
     9	    28	   -45.000    -15.588
    10	    29	   -45.000     -5.196
    11	    30	   -45.000      5.196
    12	    31	   -45.000     15.588
    13	    32	   -45.000     25.981
    14	    33	   -45.000     36.373
    15	    36	   -36.000    -51.962
    16	    37	   -36.000    -41.569
    17	    38	   -36.000    -31.177
    18	    39	   -36.000    -20.785
    19	    40	   -36.000    -10.392
    20	    41	   -36.000      0.000
    21	    42	   -36.000     10.392
    22	    43	   -36.000     20.785
    23	    44	   -36.000     31.177
    24	    45	   -36.000     41.569
    25	    46	   -36.000     51.962
    26	    47	   -27.000    -57.158
    27	    48	   -27.000    -46.765
    28	    49	   -27.000    -36.373
    29	    50	   -27.000    -25.981
    30	    51	   -27.000    -15.588
    31	    52	   -27.000     -5.196
    32	    53	   -27.000      5.196
    33	    54	   -27.000     15.588
    34	    55	   -27.000     25.981
    35	    56	   -27.000     36.373
    36	    57	   -27.000     46.765
    37	    58	   -27.000     57.158
    38	    59	   -18.000    -51.962
    39	    60	   -18.000    -41.569
    40	    61	   -18.000    -31.177
    41	    62	   -18.000    -20.785
    42	    63	   -18.000    -10.392
    43	    64	   -18.000      0.000
    44	    65	   -18.000     10.392
    45	    66	   -18.000     20.785
    46	    67	   -18.000     31.177
    47	    68	   -18.000     41.569
    48	    69	   -18.000     51.962
    49	    70	    -9.000    -57.158
    50	    71	    -9.000    -46.765
    51	    72	    -9.000    -36.373
    52	    73	    -9.000    -25.981
    53	    74	    -9.000    -15.588
    54	    75	    -9.000     -5.196
    55	    76	    -9.000      5.196
    56	    77	    -9.000     15.588
    57	    78	    -9.000     25.981
    58	    79	    -9.000     36.373
    59	    80	    -9.000     46.765
    60	    81	    -9.000     57.158
    61	    82	     0.000    -51.962
    62	    83	     0.000    -41.569
    63	    84	     0.000    -31.177
    64	    85	     0.000    -20.785
    65	    86	     0.000    -10.392
    66	    87	     0.000      0.000
    67	    88	     0.000     10.392
    68	    89	     0.000     20.785
    69	    90	     0.000     31.177
    70	    91	     0.000     41.569
    71	    92	     0.000     51.962
    72	    93	     9.000    -57.158
    73	    94	     9.000    -46.765
    74	    95	     9.000    -36.373
    75	    96	     9.000    -25.981
    76	    97	     9.000    -15.588
    77	    98	     9.000     -5.196
    78	    99	     9.000      5.196
    79	   100	     9.000     15.588
    80	   101	     9.000     25.981
    81	   102	     9.000     36.373
    82	   103	     9.000     46.765
    83	   104	     9.000     57.158
    84	   105	    18.000    -51.962
    85	   106	    18.000    -41.569
    86	   107	    18.000    -31.177
    87	   108	    18.000    -20.785
    88	   109	    18.000    -10.392
    89	   110	    18.000      0.000
    90	   111	    18.000     10.392
    91	   112	    18.000     20.785
    92	   113	    18.000     31.177
    93	   114	    18.000     41.569
    94	   115	    18.000     51.962
    95	   116	    27.000    -57.158
    96	   117	    27.000    -46.765
    97	   118	    27.000    -36.373
    98	   119	    27.000    -25.981
    99	   120	    27.000    -15.588
   100	   121	    27.000     -5.196
   101	   122	    27.000      5.196
   102	   123	    27.000     15.588
   103	   124	    27.000     25.981
   104	   125	    27.000     36.373
   105	   126	    27.000     46.765
   106	   127	    27.000     57.158
   107	   128	    36.000    -51.962
   108	   129	    36.000    -41.569
   109	   130	    36.000    -31.177
   110	   131	    36.000    -20.785
   111	   132	    36.000    -10.392
   112	   133	    36.000      0.000
   113	   134	    36.000     10.392
   114	   135	    36.000     20.785
   115	   136	    36.000     31.177
   116	   137	    36.000     41.569
   117	   138	    36.000     51.962
   118	   141	    45.000    -36.373
   119	   142	    45.000    -25.981
   120	   143	    45.000    -15.588
   121	   144	    45.000     -5.196
   122	   145	    45.000      5.196
   123	   146	    45.000     15.588
   124	   147	    45.000     25.981
   125	   148	    45.000     36.373
   126	   154	    54.000    -20.785
   127	   155	    54.000    -10.392
   128	   156	    54.000      0.000
   129	   157	    54.000     10.392
   130	   158	    54.000     20.785
   131	   167	    63.000     -5.196
   132	   168	    63.000      5.196
