 posid cellid      u      v	         x          y     skiroc    channel
     4      6     -3      7	   -68.212     -5.626          1         58
     3      7     -4      7	   -68.212      5.626          1         58
     4     16     -1      6	   -58.467    -22.504          1         50
     0     17     -2      6	   -58.467    -11.252          1         53
     0     18     -3      6	   -58.467     -0.000          1         54
     0     19     -4      6	   -58.467     11.252          1         59
     3     20     -5      6	   -58.467     22.504          1         61
     4     26      1      5	   -48.723    -39.382          1         45
     0     27      0      5	   -48.723    -28.130          1         46
     0     28     -1      5	   -48.723    -16.878          1         48
     0     29     -2      5	   -48.723     -5.626          1         52
     0     30     -3      5	   -48.723      5.626          1         55
     0     31     -4      5	   -48.723     16.878          1         60
     0     32     -5      5	   -48.723     28.130          1          1
     3     33     -6      5	   -48.723     39.382          1          4
     4     36      3      4	   -38.978    -56.260          1         38
     0     37      2      4	   -38.978    -45.008          1         39
     0     38      1      4	   -38.978    -33.756          1         41
     0     39      0      4	   -38.978    -22.504          1         44
     0     40     -1      4	   -38.978    -11.252          1         47
     0     41     -2      4	   -38.978     -0.000          1         51
     0     42     -3      4	   -38.978     11.252          1         56
     0     43     -4      4	   -38.978     22.504          1         62
     0     44     -5      4	   -38.978     33.756          1          3
     0     45     -6      4	   -38.978     45.008          1          5
     3     46     -7      4	   -38.978     56.260          1          7
     5     47      4      3	   -29.234    -61.886          1         38
     0     48      3      3	   -29.234    -50.634          1         34
     0     49      2      3	   -29.234    -39.382          1         36
     0     50      1      3	   -29.234    -28.130          1         37
     0     51      0      3	   -29.234    -16.878          1         40
     0     52     -1      3	   -29.234     -5.626          1         43
     0     53     -2      3	   -29.234      5.626          1         49
     0     54     -3      3	   -29.234     16.878          1         57
     0     55     -4      3	   -29.234     28.130          1          2
     0     56     -5      3	   -29.234     39.382          1          6
     0     57     -6      3	   -29.234     50.634          1          8
     2     58     -7      3	   -29.234     61.886          1          7
     0     59      4      2	   -19.489    -56.260          1         29
     0     60      3      2	   -19.489    -45.008          1         30
     0     61      2      2	   -19.489    -33.756          1         31
     0     62      1      2	   -19.489    -22.504          1         32
     0     63      0      2	   -19.489    -11.252          1         33
     0     64     -1      2	   -19.489     -0.000          1         35
     0     65     -2      2	   -19.489     11.252          1         42
     0     66     -3      2	   -19.489     22.504          1         63
     0     67     -4      2	   -19.489     33.756          1          9
     0     68     -5      2	   -19.489     45.008          1         10
     0     69     -6      2	   -19.489     56.260          1         11
     5     70      5      1	    -9.745    -61.886          1         28
     0     71      4      1	    -9.745    -50.634          1         27
     0     72      3      1	    -9.745    -39.382          1         26
     0     73      2      1	    -9.745    -28.130          1         25
     0     74      1      1	    -9.745    -16.878          1         24
     0     75      0      1	    -9.745     -5.626          1         23
     0     76     -1      1	    -9.745      5.626          1         22
