      	     u      v	         x          y
     0	    -7      3	   -28.800     60.968
     1	    -7      4	   -38.400     55.426
     2	    -6      1	    -9.600     60.968
     3	    -6      2	   -19.200     55.426
     4	    -6      3	   -28.800     49.883
     5	    -6      4	   -38.400     44.341
     6	    -6      5	   -48.000     38.798
     7	    -5     -1	     9.600     60.968
     8	    -5      0	     0.000     55.426
     9	    -5      1	    -9.600     49.883
    10	    -5      2	   -19.200     44.341
    11	    -5      3	   -28.800     38.798
    12	    -5      4	   -38.400     33.255
    13	    -5      5	   -48.000     27.713
    14	    -5      6	   -57.600     22.170
    15	    -4     -3	    28.800     60.968
    16	    -4     -2	    19.200     55.426
    17	    -4     -1	     9.600     49.883
    18	    -4      0	     0.000     44.341
    19	    -4      1	    -9.600     38.798
    20	    -4      2	   -19.200     33.255
    21	    -4      3	   -28.800     27.713
    22	    -4      4	   -38.400     22.170
    23	    -4      5	   -48.000     16.628
    24	    -4      6	   -57.600     11.085
    25	    -4      7	   -67.200      5.543
    26	    -3     -4	    38.400     55.426
    27	    -3     -3	    28.800     49.883
    28	    -3     -2	    19.200     44.341
    29	    -3     -1	     9.600     38.798
    30	    -3      0	     0.000     33.255
    31	    -3      1	    -9.600     27.713
    32	    -3      2	   -19.200     22.170
    33	    -3      3	   -28.800     16.628
    34	    -3      4	   -38.400     11.085
    35	    -3      5	   -48.000      5.543
    36	    -3      6	   -57.600     -0.000
    37	    -3      7	   -67.200     -5.543
    38	    -2     -4	    38.400     44.341
    39	    -2     -3	    28.800     38.798
    40	    -2     -2	    19.200     33.255
    41	    -2     -1	     9.600     27.713
    42	    -2      0	     0.000     22.170
    43	    -2      1	    -9.600     16.628
    44	    -2      2	   -19.200     11.085
    45	    -2      3	   -28.800      5.543
    46	    -2      4	   -38.400     -0.000
    47	    -2      5	   -48.000     -5.543
    48	    -2      6	   -57.600    -11.085
    49	    -1     -5	    48.000     38.798
    50	    -1     -4	    38.400     33.255
    51	    -1     -3	    28.800     27.713
    52	    -1     -2	    19.200     22.170
    53	    -1     -1	     9.600     16.628
    54	    -1      0	     0.000     11.085
    55	    -1      1	    -9.600      5.543
    56	    -1      2	   -19.200     -0.000
    57	    -1      3	   -28.800     -5.543
    58	    -1      4	   -38.400    -11.085
    59	    -1      5	   -48.000    -16.628
    60	    -1      6	   -57.600    -22.170
    61	     0     -5	    48.000     27.713
    62	     0     -4	    38.400     22.170
    63	     0     -3	    28.800     16.628
    64	     0     -2	    19.200     11.085
    65	     0     -1	     9.600      5.543
    66	     0      0	    -0.000     -0.000
    67	     0      1	    -9.600     -5.543
    68	     0      2	   -19.200    -11.085
    69	     0      3	   -28.800    -16.628
    70	     0      4	   -38.400    -22.170
    71	     0      5	   -48.000    -27.713
    72	     1     -6	    57.600     22.170
    73	     1     -5	    48.000     16.628
    74	     1     -4	    38.400     11.085
    75	     1     -3	    28.800      5.543
    76	     1     -2	    19.200      0.000
    77	     1     -1	     9.600     -5.543
    78	     1      0	    -0.000    -11.085
    79	     1      1	    -9.600    -16.628
    80	     1      2	   -19.200    -22.170
    81	     1      3	   -28.800    -27.713
    82	     1      4	   -38.400    -33.255
    83	     1      5	   -48.000    -38.798
    84	     2     -6	    57.600     11.085
    85	     2     -5	    48.000      5.543
    86	     2     -4	    38.400      0.000
    87	     2     -3	    28.800     -5.543
    88	     2     -2	    19.200    -11.085
    89	     2     -1	     9.600    -16.628
    90	     2      0	    -0.000    -22.170
    91	     2      1	    -9.600    -27.713
    92	     2      2	   -19.200    -33.255
    93	     2      3	   -28.800    -38.798
    94	     2      4	   -38.400    -44.341
    95	     3     -7	    67.200      5.543
    96	     3     -6	    57.600      0.000
    97	     3     -5	    48.000     -5.543
    98	     3     -4	    38.400    -11.085
    99	     3     -3	    28.800    -16.628
   100	     3     -2	    19.200    -22.170
   101	     3     -1	     9.600    -27.713
   102	     3      0	    -0.000    -33.255
   103	     3      1	    -9.600    -38.798
   104	     3      2	   -19.200    -44.341
   105	     3      3	   -28.800    -49.883
   106	     3      4	   -38.400    -55.426
   107	     4     -7	    67.200     -5.543
   108	     4     -6	    57.600    -11.085
   109	     4     -5	    48.000    -16.628
   110	     4     -4	    38.400    -22.170
   111	     4     -3	    28.800    -27.713
   112	     4     -2	    19.200    -33.255
   113	     4     -1	     9.600    -38.798
   114	     4      0	    -0.000    -44.341
   115	     4      1	    -9.600    -49.883
   116	     4      2	   -19.200    -55.426
   117	     4      3	   -28.800    -60.968
   118	     5     -6	    57.600    -22.170
   119	     5     -5	    48.000    -27.713
   120	     5     -4	    38.400    -33.255
   121	     5     -3	    28.800    -38.798
   122	     5     -2	    19.200    -44.341
   123	     5     -1	     9.600    -49.883
   124	     5      0	    -0.000    -55.426
   125	     5      1	    -9.600    -60.968
   126	     6     -5	    48.000    -38.798
   127	     6     -4	    38.400    -44.341
   128	     6     -3	    28.800    -49.883
   129	     6     -2	    19.200    -55.426
   130	     6     -1	     9.600    -60.968
   131	     7     -4	    38.400    -55.426
   132	     7     -3	    28.800    -60.968
